company,top_topic,P_0,RD_0,P_1,RD_1,P_2,RD_2,P_3,RD_3,P_4,RD_4,P_5,RD_5,P_6,RD_6,year
恩华药业,4,0.000109 ,0.000109 ,0.000061 ,0.000061 ,0.000077 ,0.000077 ,0.000094 ,0.000094 ,0.883875 ,1.148382 ,0.115686 ,0.115953 ,0.000099 ,0.000099 ,2024
新 华 都,6,0.000135 ,0.000135 ,0.000075 ,0.000075 ,0.000095 ,0.000095 ,0.000116 ,0.000116 ,0.000120 ,0.000120 ,0.000125 ,0.000125 ,0.999333 ,2.117791 ,2024
东方雨虹,6,0.000037 ,0.000037 ,0.000021 ,0.000021 ,0.000026 ,0.000026 ,0.031187 ,0.031192 ,0.000033 ,0.000033 ,0.049636 ,0.049657 ,0.919059 ,1.256766 ,2024
博深股份,6,0.000071 ,0.000071 ,0.000039 ,0.000039 ,0.363754 ,0.373059 ,0.000061 ,0.000061 ,0.000063 ,0.000063 ,0.061204 ,0.061243 ,0.574808 ,0.618001 ,2024
天润工业,5,0.000149 ,0.000149 ,0.000083 ,0.000083 ,0.000105 ,0.000105 ,0.000128 ,0.000128 ,0.000133 ,0.000133 ,0.671987 ,0.748914 ,0.327415 ,0.334060 ,2024
亚太股份,5,0.000114 ,0.000114 ,0.000063 ,0.000063 ,0.483792 ,0.507567 ,0.000098 ,0.000098 ,0.000101 ,0.000101 ,0.515730 ,0.545292 ,0.000103 ,0.000103 ,2024
禾盛新材,4,0.000181 ,0.000181 ,0.000100 ,0.000100 ,0.000128 ,0.000128 ,0.000155 ,0.000155 ,0.720598 ,0.822025 ,0.278674 ,0.282668 ,0.000163 ,0.000163 ,2024
信立泰,4,0.000135 ,0.000135 ,0.000075 ,0.000075 ,0.108200 ,0.108418 ,0.000116 ,0.000116 ,0.816682 ,0.991967 ,0.074669 ,0.074740 ,0.000122 ,0.000122 ,2024
日海智能,4,0.000122 ,0.000122 ,0.000067 ,0.000067 ,0.330622 ,0.337476 ,0.000104 ,0.000104 ,0.338348 ,0.345726 ,0.000112 ,0.000112 ,0.330624 ,0.337479 ,2024
焦点科技,6,0.000088 ,0.000088 ,0.063115 ,0.063158 ,0.000062 ,0.000062 ,0.000075 ,0.000075 ,0.380499 ,0.391259 ,0.106304 ,0.106511 ,0.449857 ,0.468489 ,2024
久立特材,0,0.931081 ,1.301505 ,0.000056 ,0.000056 ,0.000071 ,0.000071 ,0.068519 ,0.068573 ,0.000090 ,0.000090 ,0.000093 ,0.000093 ,0.000091 ,0.000091 ,2024
海峡股份,0,0.854188 ,1.073443 ,0.000068 ,0.000068 ,0.000087 ,0.000087 ,0.000106 ,0.000106 ,0.000109 ,0.000109 ,0.000113 ,0.000113 ,0.145329 ,0.145863 ,2024
漫步者,6,0.000240 ,0.000240 ,0.000133 ,0.000133 ,0.000169 ,0.000169 ,0.357293 ,0.366078 ,0.000213 ,0.000213 ,0.000221 ,0.000221 ,0.641731 ,0.706296 ,2024
顺丰控股,6,0.002048 ,0.002049 ,0.036112 ,0.036120 ,0.000014 ,0.000014 ,0.000017 ,0.000017 ,0.000018 ,0.000018 ,0.000019 ,0.000019 ,0.961771 ,1.450247 ,2024
汉王科技,4,0.000103 ,0.000103 ,0.053877 ,0.053904 ,0.000073 ,0.000073 ,0.000089 ,0.000089 ,0.402717 ,0.415656 ,0.301309 ,0.306416 ,0.241832 ,0.244396 ,2024
康力电梯,6,0.000099 ,0.000099 ,0.073739 ,0.073807 ,0.000070 ,0.000070 ,0.000085 ,0.000085 ,0.000088 ,0.000088 ,0.000092 ,0.000092 ,0.925827 ,1.281310 ,2024
宏创控股,0,0.844557 ,1.051337 ,0.000036 ,0.000036 ,0.000046 ,0.000046 ,0.000056 ,0.000056 ,0.000058 ,0.000058 ,0.000060 ,0.000060 ,0.155188 ,0.155842 ,2024
维信诺,4,0.000180 ,0.000180 ,0.000100 ,0.000100 ,0.000127 ,0.000127 ,0.000154 ,0.000155 ,0.715665 ,0.814303 ,0.283612 ,0.287832 ,0.000162 ,0.000162 ,2024
航天彩虹,6,0.000084 ,0.000084 ,0.000047 ,0.000047 ,0.000059 ,0.000059 ,0.000072 ,0.000072 ,0.000075 ,0.000075 ,0.252668 ,0.255608 ,0.746994 ,0.864721 ,2024
力生制药,5,0.000177 ,0.000177 ,0.000098 ,0.000098 ,0.000125 ,0.000125 ,0.000152 ,0.000152 ,0.000157 ,0.000157 ,0.999130 ,2.085363 ,0.000160 ,0.000160 ,2024
海普瑞,0,0.999656 ,2.194377 ,0.000039 ,0.000039 ,0.000050 ,0.000050 ,0.000061 ,0.000061 ,0.000063 ,0.000063 ,0.000066 ,0.000066 ,0.000064 ,0.000064 ,2024
省广集团,4,0.000406 ,0.000406 ,0.000225 ,0.000225 ,0.000286 ,0.000286 ,0.000348 ,0.000348 ,0.997997 ,1.975870 ,0.000373 ,0.000374 ,0.000366 ,0.000366 ,2024
中远海科,6,0.020710 ,0.020711 ,0.237540 ,0.239965 ,0.000035 ,0.000035 ,0.000042 ,0.000042 ,0.275948 ,0.279820 ,0.000045 ,0.000045 ,0.465680 ,0.486590 ,2024
嘉欣丝绸,6,0.263121 ,0.266457 ,0.000038 ,0.000038 ,0.000048 ,0.000048 ,0.000059 ,0.000059 ,0.000061 ,0.000061 ,0.300995 ,0.306084 ,0.435679 ,0.452433 ,2024
广联达,6,0.000107 ,0.000107 ,0.000059 ,0.000059 ,0.000075 ,0.000075 ,0.000092 ,0.000092 ,0.000095 ,0.000095 ,0.000098 ,0.000098 ,0.999474 ,2.145900 ,2024
天虹股份,2,0.000180 ,0.000180 ,0.000100 ,0.000100 ,0.507144 ,0.535053 ,0.000154 ,0.000155 ,0.000160 ,0.000160 ,0.000166 ,0.000166 ,0.492096 ,0.517283 ,2024
毅昌科技,5,0.110454 ,0.110687 ,0.000179 ,0.000179 ,0.000228 ,0.000228 ,0.000277 ,0.000277 ,0.000287 ,0.000287 ,0.856704 ,1.079377 ,0.031870 ,0.031876 ,2024
云南锗业,2,0.000062 ,0.000062 ,0.000034 ,0.000034 ,0.999683 ,2.203648 ,0.000053 ,0.000053 ,0.000055 ,0.000055 ,0.000057 ,0.000057 ,0.000056 ,0.000056 ,2024
杭氧股份,2,0.000101 ,0.000101 ,0.000056 ,0.000056 ,0.797337 ,0.954053 ,0.000087 ,0.000087 ,0.000090 ,0.000090 ,0.000093 ,0.000093 ,0.202235 ,0.203709 ,2024
摩恩电气,3,0.210047 ,0.211703 ,0.000065 ,0.000065 ,0.219122 ,0.221011 ,0.570450 ,0.612488 ,0.000104 ,0.000104 ,0.000107 ,0.000107 ,0.000105 ,0.000105 ,2024
百川股份,3,0.000073 ,0.000073 ,0.000040 ,0.000040 ,0.000051 ,0.000051 ,0.999639 ,2.189142 ,0.000064 ,0.000064 ,0.000067 ,0.000067 ,0.000065 ,0.000065 ,2024
益生股份,0,0.591977 ,0.639974 ,0.000078 ,0.000078 ,0.000099 ,0.000099 ,0.287637 ,0.292049 ,0.000125 ,0.000125 ,0.099334 ,0.099501 ,0.020751 ,0.020752 ,2024
珠江啤酒,5,0.265262 ,0.268684 ,0.000160 ,0.000160 ,0.000204 ,0.000204 ,0.000249 ,0.000249 ,0.000257 ,0.000257 ,0.445308 ,0.463321 ,0.288559 ,0.293014 ,2024
沪电股份,4,0.024569 ,0.024572 ,0.000030 ,0.000030 ,0.000038 ,0.000038 ,0.000046 ,0.000046 ,0.975218 ,1.547058 ,0.000050 ,0.000050 ,0.000049 ,0.000049 ,2024
海格通信,2,0.000415 ,0.000415 ,0.000230 ,0.000230 ,0.555250 ,0.593461 ,0.000356 ,0.000356 ,0.000368 ,0.000368 ,0.000382 ,0.000382 ,0.442999 ,0.460704 ,2024
天齐锂业,0,0.469915 ,0.491470 ,0.000013 ,0.000013 ,0.000016 ,0.000016 ,0.227886 ,0.230018 ,0.302129 ,0.307280 ,0.000021 ,0.000021 ,0.000021 ,0.000021 ,2024
二六三,4,0.000084 ,0.000084 ,0.000047 ,0.000047 ,0.000059 ,0.000059 ,0.000072 ,0.000072 ,0.999583 ,2.172852 ,0.000078 ,0.000078 ,0.000076 ,0.000076 ,2024
三维化学,3,0.000045 ,0.000045 ,0.000025 ,0.000025 ,0.000032 ,0.000032 ,0.999774 ,2.240137 ,0.000040 ,0.000040 ,0.000042 ,0.000042 ,0.000041 ,0.000041 ,2024
常宝股份,0,0.411284 ,0.425145 ,0.000059 ,0.000059 ,0.003610 ,0.003609 ,0.118749 ,0.119038 ,0.000095 ,0.000095 ,0.109247 ,0.109472 ,0.356956 ,0.365713 ,2024
ST墨龙,3,0.000152 ,0.000152 ,0.045558 ,0.045574 ,0.000107 ,0.000107 ,0.435863 ,0.452639 ,0.233528 ,0.235828 ,0.150739 ,0.151337 ,0.134054 ,0.134471 ,2024
涪陵榨菜,0,0.634235 ,0.696025 ,0.000057 ,0.000057 ,0.186545 ,0.187695 ,0.129385 ,0.129761 ,0.000092 ,0.000092 ,0.049592 ,0.049613 ,0.000093 ,0.000093 ,2024
金字火腿,0,0.475215 ,0.497599 ,0.000116 ,0.000116 ,0.237551 ,0.239976 ,0.000180 ,0.000180 ,0.253105 ,0.256061 ,0.033643 ,0.033649 ,0.000189 ,0.000189 ,2024
旷达科技,5,0.000112 ,0.000112 ,0.000062 ,0.000062 ,0.000079 ,0.000079 ,0.000096 ,0.000096 ,0.000099 ,0.000099 ,0.999452 ,2.141074 ,0.000101 ,0.000101 ,2024
金杯电工,6,0.097635 ,0.097794 ,0.000085 ,0.000085 ,0.383673 ,0.394726 ,0.000132 ,0.000132 ,0.000137 ,0.000137 ,0.000142 ,0.000142 ,0.518195 ,0.548247 ,2024
西子洁能,2,0.160388 ,0.161111 ,0.000028 ,0.000028 ,0.839402 ,1.039871 ,0.000044 ,0.000044 ,0.000045 ,0.000045 ,0.000047 ,0.000047 ,0.000046 ,0.000046 ,2024
飞龙股份,5,0.000136 ,0.000136 ,0.000076 ,0.000076 ,0.000096 ,0.000096 ,0.000117 ,0.000117 ,0.162640 ,0.163395 ,0.836811 ,1.034198 ,0.000123 ,0.000123 ,2024
云图控股,0,0.856122 ,1.077997 ,0.000022 ,0.000022 ,0.000028 ,0.000028 ,0.143721 ,0.144238 ,0.000035 ,0.000035 ,0.000037 ,0.000037 ,0.000036 ,0.000036 ,2024
新联电子,4,0.000095 ,0.000095 ,0.000053 ,0.000053 ,0.000067 ,0.000067 ,0.000081 ,0.000081 ,0.999532 ,2.159421 ,0.000087 ,0.000087 ,0.000086 ,0.000086 ,2024
